1398483,181000,3527,76
1398484,181000,3575,15
1398485,181000,3721,76
1398486,181001,2995,163
1398487,181001,1181,215
1398488,181001,3803,52
1398489,181002,433,43
1398490,181002,2548,167
1398491,181002,2468,22
1398492,181002,1290,264
1398493,181002,2291,142
1398494,181002,1477,185
1398495,181002,826,107
1398496,181002,99,109
1398497,181002,2494,128
1398498,181002,1800,33
1398499,181002,2019,88
1398500,181002,113,107
1398501,181002,97,22
1398502,181002,425,88
1398503,181003,2516,115
1398504,181003,1270,169
1398505,181003,1575,136
1398506,181004,2366,18
1398507,181004,3575,23
1398508,181004,2585,65
1398509,181004,2045,37
1398510,181004,3262,21
1398511,181004,1112,51
1398512,181004,95,46
1398513,181004,456,27
1398514,181004,2584,51
1398515,181004,2001,37
1398516,181005,1578,124
1398517,181005,101,74
1398518,181005,1593,147
1398519,181005,1326,280
1398520,181005,3512,66
1398521,181005,891,57
1398522,181005,2149,204
1398523,181005,946,204
1398524,181005,2053,204
1398525,181005,3574,183
1398526,181005,2241,183
1398527,181005,1536,76
1398528,181005,3415,37
1398529,181005,3580,88
1398530,181006,3405,87
1398531,181006,2113,61
1398532,181006,3541,181
1398533,181007,2435,31
1398534,181007,2016,114
1398535,181008,2425,37
1398536,181008,1527,81
1398537,181008,1385,33
1398538,181009,1509,81
1398539,181009,408,74
1398540,181009,2444,107
1398541,181009,2003,77
1398542,181010,1479,56
1398543,181010,888,81
1398544,181010,1584,81
1398545,181010,2038,32
1398546,181010,931,94
1398547,181010,2376,50
1398548,181010,3549,33
1398549,181010,3706,50
1398550,181010,1186,34
1398551,181011,1889,110
1398552,181011,1370,60
1398553,181012,2490,94
1398554,181012,962,124
1398555,181012,799,114
1398556,181012,2020,73
1398557,181012,830,73
1398558,181012,1370,70
1398559,181013,1564,138
1398560,181013,1607,81
1398561,181013,1295,311
1398562,181013,2664,262
1398563,181013,2036,47
1398564,181013,2529,131
1398565,181013,2025,131
1398566,181013,3492,209
1398567,181013,3398,134
1398568,181013,2001,74
1398569,181013,1608,95
1398570,181013,2456,36
1398571,181013,3078,71
1398572,181014,3545,78
1398573,181014,1884,160
1398574,181014,1299,194
1398576,181014,2775,259
1398577,181014,1719,30
1398578,181014,2487,22
1398579,181015,1353,23
1398580,181015,2663,65
1398581,181015,1001,63
1398582,181015,3000,86
1398583,181016,895,55
1398584,181016,2367,57
1398585,181016,2477,232
1398586,181016,3445,88
1398587,181016,2509,88
1398588,181016,2406,232
1398589,181016,3061,295
1398590,181016,2034,127
1398591,181016,1621,86
1398592,181016,1662,22
1398593,181016,694,110
1398594,181016,3279,69
1398595,181017,2446,105
1398596,181017,3385,52
1398597,181017,3427,13
1398598,181017,971,86
1398599,181018,113,133
1398600,181018,2575,233
1398601,181018,94,233
1398602,181019,1524,131
1398603,181019,1427,54
1398604,181019,3213,65
1398605,181019,1237,180
1398606,181019,2860,249
1398607,181019,1200,249
1398608,181019,2710,249
1398609,181019,2016,45
1398610,181019,894,221
1398611,181019,2133,215
1398612,181019,3591,157
1398613,181019,1403,157
1398614,181019,3697,157
1398615,181019,1395,157
1398616,181019,1637,112
1398617,181019,1102,288
1398618,181019,2026,243
1398619,181019,3783,163
1398620,181020,3517,125
1398621,181020,2149,203
1398622,181020,3796,165
1398623,181020,1521,138
1398624,181020,3570,175
1398625,181020,2212,203
1398626,181020,1595,101
1398627,181020,713,122
1398628,181020,1425,144
1398629,181020,779,144
1398630,181020,1986,151
1398631,181020,3599,172
1398632,181020,2116,165
1398633,181020,2003,88
1398634,181020,1724,96
1398635,181020,1972,96
1398636,181020,1333,264
1398637,181020,1577,230
1398638,181020,3235,41
1398639,181021,3057,264
1398640,181021,1158,348
1398641,181021,1707,303
1398642,181021,3320,121
1398643,181021,2450,97
1398644,181021,1307,286
1398645,181022,1530,34
1398646,181022,788,29
1398647,181022,923,58
1398648,181022,2577,64
1398649,181022,1446,38
1398650,181022,796,36
1398651,181022,1497,29
1398652,181023,3104,420
1398653,181023,785,250
1398654,181023,3226,121
1398655,181023,1134,289
1398656,181024,1485,218
1398657,181024,3235,64
1398658,181024,3189,38
1398659,181024,3275,38
1398660,181024,1304,299
1398661,181024,888,154
1398662,181025,2490,326
1398663,181025,1325,480
1398664,181025,3740,155
1398665,181025,2867,285
1398666,181026,1509,218
1398667,181026,3191,64
1398668,181026,1659,192
1398669,181027,1510,124
1398670,181027,1833,73
1398671,181027,1280,281
1398672,181027,2843,237
1398673,181027,1612,44
1398674,181027,1333,281
1398675,181027,2746,237
1398676,181028,955,32
1398677,181028,2318,64
1398678,181028,1270,80
1398679,181028,2702,136
1398680,181028,3313,38
1398681,181029,1583,140
1398682,181029,3259,41
1398683,181029,2004,76
1398684,181029,1983,25
1398685,181029,97,119
1398686,181029,1959,119
1398687,181029,1273,269
1398688,181029,2984,363
1398689,181029,1134,355
1398690,181030,1425,277
1398691,181030,3718,277
1398692,181030,2398,106
1398693,181030,1507,337
1398694,181031,3509,81
1398695,181031,2480,150
1398696,181032,3570,73
1398697,181032,3152,176
1398699,181032,2925,408
1398700,181032,2640,55
1398702,181033,2542,198
1398703,181033,1934,134
1398704,181033,102,119
1398705,181033,465,97
1398706,181033,430,25
1398707,181033,876,164
1398708,181033,1394,147
1398709,181033,2029,119
1398710,181033,98,119
1398711,181034,3574,119
1398712,181034,2508,221
1398713,181034,2016,125
1398714,181034,990,223
1398715,181034,2140,216
1398716,181034,3698,158
1398717,181034,2388,60
1398718,181034,477,105
1398719,181034,2446,173
1398720,181034,1343,274
1398721,181034,468,133
1398722,181034,95,91
1398723,181034,2587,133
1398724,181034,1220,274
1398725,181035,3568,78
1398726,181035,1494,109
1398727,181035,1808,50
1398728,181035,3587,136
1398729,181036,2463,100
1398730,181036,3349,50
1398731,181037,3571,108
1398732,181037,2318,70
1398733,181037,2419,21
1398734,181037,2155,198
1398735,181037,1267,224
1398736,181037,682,231
1398737,181037,447,139
1398738,181037,2686,136
1398739,181037,2584,73
1398740,181037,3608,169
1398741,181038,1500,124
1398742,181038,2388,181
1398743,181038,407,99
1398744,181038,880,98
1398745,181038,1504,179
1398746,181038,3213,36
1398747,181038,2112,61
1398748,181038,2248,22
1398749,181038,3645,149
1398750,181038,2635,153
1398751,181039,933,55
1398752,181039,1556,179
1398753,181039,2008,71
1398754,181039,1493,71
1398755,181039,3363,36
1398756,181039,3403,22
1398757,181039,896,143
1398758,181039,100,127
1398759,181039,422,86
1398760,181039,983,98
1398761,181039,2402,112
1398762,181040,2337,15
1398763,181040,3571,20
1398764,181040,3542,6
1398765,181040,3542,6
1398766,181041,2295,64
1398767,181041,2244,233
1398768,181041,3235,69
1398769,181042,2560,105
1398770,181042,684,93
1398771,181042,1997,81
1398772,181042,899,126
1398773,181043,929,57
1398774,181043,2925,301
1398775,181043,812,145
1398776,181043,1102,238
1398777,181043,3142,322
1398778,181043,1839,42
1398779,181043,1190,280
1398780,181043,846,238
1398781,181043,1371,133
1398782,181044,2498,174
1398783,181044,967,229
1398784,181044,3183,291
1398785,181044,842,141
1398786,181044,1463,129
1398787,181044,1983,104
1398788,181044,1470,71
1398789,181044,1731,72
1398790,181044,1273,278
1398791,181044,3213,170
1398792,181045,1917,62
1398793,181045,1246,88
1398794,181045,3210,53
1398795,181046,2573,115
1398796,181046,779,51
1398797,181047,1814,219
1398798,181047,1194,311
1398799,181047,1307,24
1398800,181047,3459,190
1398801,181047,3313,24
1398802,181047,964,159
1398803,181047,3698,62
1398804,181047,1536,138
1398805,181047,3783,138
1398806,181047,1475,138
1398807,181047,2448,117
1398808,181047,1853,36
1398809,181047,1237,311
1398810,181047,2675,263
1398811,181047,1336,263
1398812,181047,2710,263
1398813,181047,1878,49
1398814,181048,2594,157
1398815,181048,3807,157
1398816,181048,1553,127
1398817,181048,1595,75
1398818,181048,1256,287
1398819,181048,414,129
1398820,181048,1976,146
1398821,181048,2460,121
1398822,181048,3645,179
1398823,181048,3392,90
1398824,181048,921,146
1398825,181048,2306,115
1398826,181048,3793,58
1398827,181048,2440,58
1398828,181048,1511,185
1398829,181048,3735,127
1398830,181048,1518,127
1398831,181048,872,108
1398832,181049,1440,169
1398833,181049,1295,263
1398834,181049,2097,263
1398835,181049,3765,169
1398836,181049,1525,141
1398837,181049,2956,129
1398838,181049,2248,149
1398839,181049,1307,263
1398840,181049,2711,268
